path,kind,suggested_use
数据/更新版数据/structured/STRUCTURED_DATA_DICTIONARY.md,md,待人工确认用途
数据/更新版数据/structured/个人贷款分产品2020.xlsx,xlsx,零售分产品结构和零售风险专题
数据/更新版数据/structured/个人贷款分产品2021.xlsx,xlsx,零售分产品结构和零售风险专题
数据/更新版数据/structured/个人贷款分产品2022.xlsx,xlsx,零售分产品结构和零售风险专题
数据/更新版数据/structured/个人贷款分产品2023.xlsx,xlsx,零售分产品结构和零售风险专题
数据/更新版数据/structured/个人贷款分产品2024.xlsx,xlsx,零售分产品结构和零售风险专题
数据/更新版数据/structured/个人贷款分产品2025.xlsx,xlsx,零售分产品结构和零售风险专题
数据/更新版数据/structured/公司贷款分行业2020.xlsx,xlsx,对公行业集中度和行业不良专题
数据/更新版数据/structured/公司贷款分行业2021.xlsx,xlsx,对公行业集中度和行业不良专题
数据/更新版数据/structured/公司贷款分行业2022.xlsx,xlsx,对公行业集中度和行业不良专题
数据/更新版数据/structured/公司贷款分行业2023.xlsx,xlsx,对公行业集中度和行业不良专题
数据/更新版数据/structured/公司贷款分行业2024.xlsx,xlsx,对公行业集中度和行业不良专题
数据/更新版数据/structured/公司贷款分行业2025.xlsx,xlsx,对公行业集中度和行业不良专题
数据/更新版数据/structured/利率风险-负债2025.xlsx,xlsx,资产负债重定价和利率风险专题
数据/更新版数据/structured/利率风险-资产2025.xlsx,xlsx,资产负债重定价和利率风险专题
数据/更新版数据/structured/存贷结构2020.xlsx,xlsx,存贷款结构和定期化专题
数据/更新版数据/structured/存贷结构2021.xlsx,xlsx,存贷款结构和定期化专题
数据/更新版数据/structured/存贷结构2022.xlsx,xlsx,存贷款结构和定期化专题
数据/更新版数据/structured/存贷结构2023.xlsx,xlsx,存贷款结构和定期化专题
数据/更新版数据/structured/存贷结构2024.xlsx,xlsx,存贷款结构和定期化专题
数据/更新版数据/structured/存贷结构2025.xlsx,xlsx,存贷款结构和定期化专题
数据/更新版数据/structured/流动性风险-负债2025.xlsx,xlsx,流动性和集中度风险专题
数据/更新版数据/structured/流动性风险-资产2025.xlsx,xlsx,流动性和集中度风险专题
数据/更新版数据/structured/贷款五级分类2020.xlsx,xlsx,风险分类、关注类和不良迁徙专题
数据/更新版数据/structured/贷款五级分类2021.xlsx,xlsx,风险分类、关注类和不良迁徙专题
数据/更新版数据/structured/贷款五级分类2022.xlsx,xlsx,风险分类、关注类和不良迁徙专题
数据/更新版数据/structured/贷款五级分类2023.xlsx,xlsx,风险分类、关注类和不良迁徙专题
数据/更新版数据/structured/贷款五级分类2024.xlsx,xlsx,风险分类、关注类和不良迁徙专题
数据/更新版数据/structured/贷款五级分类2025.xlsx,xlsx,风险分类、关注类和不良迁徙专题
数据/更新版数据/structured/逾期贷款2020.xlsx,xlsx,逾期结构、偏离度和风险确认专题
数据/更新版数据/structured/逾期贷款2021.xlsx,xlsx,逾期结构、偏离度和风险确认专题
数据/更新版数据/structured/逾期贷款2022.xlsx,xlsx,逾期结构、偏离度和风险确认专题
数据/更新版数据/structured/逾期贷款2023.xlsx,xlsx,逾期结构、偏离度和风险确认专题
数据/更新版数据/structured/逾期贷款2024.xlsx,xlsx,逾期结构、偏离度和风险确认专题
数据/更新版数据/structured/逾期贷款2025.xlsx,xlsx,逾期结构、偏离度和风险确认专题
数据/更新版数据/structured/金融投资分布2020.xlsx,xlsx,投资资产配置和波动收入专题
数据/更新版数据/structured/金融投资分布2021.xlsx,xlsx,投资资产配置和波动收入专题
数据/更新版数据/structured/金融投资分布2022.xlsx,xlsx,投资资产配置和波动收入专题
数据/更新版数据/structured/金融投资分布2023.xlsx,xlsx,投资资产配置和波动收入专题
数据/更新版数据/structured/金融投资分布2024.xlsx,xlsx,投资资产配置和波动收入专题
数据/更新版数据/structured/金融投资分布2025.xlsx,xlsx,投资资产配置和波动收入专题
数据/更新版数据/structured/金融资产三阶段分布2020.xlsx,xlsx,三阶段资产迁徙和预期信用损失专题
数据/更新版数据/structured/金融资产三阶段分布2021.xlsx,xlsx,三阶段资产迁徙和预期信用损失专题
数据/更新版数据/structured/金融资产三阶段分布2022.xlsx,xlsx,三阶段资产迁徙和预期信用损失专题
数据/更新版数据/structured/金融资产三阶段分布2023.xlsx,xlsx,三阶段资产迁徙和预期信用损失专题
数据/更新版数据/structured/金融资产三阶段分布2024.xlsx,xlsx,三阶段资产迁徙和预期信用损失专题
数据/更新版数据/structured/金融资产三阶段分布2025.xlsx,xlsx,三阶段资产迁徙和预期信用损失专题
数据/更新版数据/structured/银行专项数据2020.xlsx,xlsx,专项指标补充
数据/更新版数据/structured/银行专项数据2021.xlsx,xlsx,专项指标补充
数据/更新版数据/structured/银行专项数据2022.xlsx,xlsx,专项指标补充
数据/更新版数据/structured/银行专项数据2023.xlsx,xlsx,专项指标补充
数据/更新版数据/structured/银行专项数据2024.xlsx,xlsx,专项指标补充
数据/更新版数据/structured/银行专项数据2025.xlsx,xlsx,专项指标补充
数据/更新版数据/structured/银行财务数据-单报告期多指标.xlsx,xlsx,基础财务数据补充或交叉校验
数据/更新版数据/structured/银行财务数据-合并2020.xlsx,xlsx,基础财务数据补充或交叉校验
数据/更新版数据/structured/银行财务数据-合并2021.xlsx,xlsx,基础财务数据补充或交叉校验
数据/更新版数据/structured/银行财务数据-合并2022.xlsx,xlsx,基础财务数据补充或交叉校验
数据/更新版数据/structured/银行财务数据-合并2023.xlsx,xlsx,基础财务数据补充或交叉校验
数据/更新版数据/structured/银行财务数据-合并2024.xlsx,xlsx,基础财务数据补充或交叉校验
数据/更新版数据/structured/银行财务数据-合并2025.xlsx,xlsx,基础财务数据补充或交叉校验
数据/更新版数据/structured/银行财务数据-母公司2020.xlsx,xlsx,基础财务数据补充或交叉校验
数据/更新版数据/structured/银行财务数据-母公司2021.xlsx,xlsx,基础财务数据补充或交叉校验
数据/更新版数据/structured/银行财务数据-母公司2022.xlsx,xlsx,基础财务数据补充或交叉校验
数据/更新版数据/structured/银行财务数据-母公司2023.xlsx,xlsx,基础财务数据补充或交叉校验
数据/更新版数据/structured/银行财务数据-母公司2024.xlsx,xlsx,基础财务数据补充或交叉校验
数据/更新版数据/structured/银行财务数据-母公司2025.xlsx,xlsx,基础财务数据补充或交叉校验
数据/更新版数据/tmp/上市银行PB_mock.xlsx,xlsx,估值、市净率和资本市场验证
数据/更新版数据/上市银行PB.xlsx,xlsx,估值、市净率和资本市场验证
数据/更新版数据/个人贷款分产品2025-城农商.xlsx,xlsx,零售分产品结构和零售风险专题
数据/更新版数据/公司贷款分行业2025-城农商.xlsx,xlsx,对公行业集中度和行业不良专题
数据/更新版数据/存贷结构2025-城农商.xlsx,xlsx,存贷款结构和定期化专题
数据/更新版数据/贷款五级分类2025-城农商.xlsx,xlsx,风险分类、关注类和不良迁徙专题
数据/更新版数据/选中数据/图表3-0_息差对冲缺口_横向排名_16x9/存贷结构2025-城农商.xlsx,xlsx,存贷款结构和定期化专题
数据/更新版数据/选中数据/图表3-1A_存款结构_全样本与五区域定期_16x9/存贷结构2020.xlsx,xlsx,存贷款结构和定期化专题
数据/更新版数据/选中数据/图表3-1A_存款结构_全样本与五区域定期_16x9/存贷结构2021.xlsx,xlsx,存贷款结构和定期化专题
数据/更新版数据/选中数据/图表3-1A_存款结构_全样本与五区域定期_16x9/存贷结构2022.xlsx,xlsx,存贷款结构和定期化专题
数据/更新版数据/选中数据/图表3-1A_存款结构_全样本与五区域定期_16x9/存贷结构2023.xlsx,xlsx,存贷款结构和定期化专题
数据/更新版数据/选中数据/图表3-1A_存款结构_全样本与五区域定期_16x9/存贷结构2024.xlsx,xlsx,存贷款结构和定期化专题
数据/更新版数据/选中数据/图表3-1A_存款结构_全样本与五区域定期_16x9/存贷结构2025-城农商.xlsx,xlsx,存贷款结构和定期化专题
数据/更新版数据/选中数据/图表3-2A_贷款收益成色桥图_2025_16x9/存贷结构2020.xlsx,xlsx,存贷款结构和定期化专题
数据/更新版数据/选中数据/图表3-2A_贷款收益成色桥图_2025_16x9/存贷结构2021.xlsx,xlsx,存贷款结构和定期化专题
数据/更新版数据/选中数据/图表3-2A_贷款收益成色桥图_2025_16x9/存贷结构2022.xlsx,xlsx,存贷款结构和定期化专题
数据/更新版数据/选中数据/图表3-2A_贷款收益成色桥图_2025_16x9/存贷结构2023.xlsx,xlsx,存贷款结构和定期化专题
数据/更新版数据/选中数据/图表3-2A_贷款收益成色桥图_2025_16x9/存贷结构2024.xlsx,xlsx,存贷款结构和定期化专题
数据/更新版数据/选中数据/图表3-2A_贷款收益成色桥图_2025_16x9/存贷结构2025-城农商.xlsx,xlsx,存贷款结构和定期化专题
数据/更新版数据/选中数据/图表3-2_贷款收益成色_主图C辅图D_2025_16x9/存贷结构2020.xlsx,xlsx,存贷款结构和定期化专题
数据/更新版数据/选中数据/图表3-2_贷款收益成色_主图C辅图D_2025_16x9/存贷结构2021.xlsx,xlsx,存贷款结构和定期化专题
数据/更新版数据/选中数据/图表3-2_贷款收益成色_主图C辅图D_2025_16x9/存贷结构2022.xlsx,xlsx,存贷款结构和定期化专题
数据/更新版数据/选中数据/图表3-2_贷款收益成色_主图C辅图D_2025_16x9/存贷结构2023.xlsx,xlsx,存贷款结构和定期化专题
数据/更新版数据/选中数据/图表3-2_贷款收益成色_主图C辅图D_2025_16x9/存贷结构2024.xlsx,xlsx,存贷款结构和定期化专题
数据/更新版数据/选中数据/图表3-2_贷款收益成色_主图C辅图D_2025_16x9/存贷结构2025-城农商.xlsx,xlsx,存贷款结构和定期化专题
数据/更新版数据/选中数据/补充图表_零售不良_图1_行业锚与五区域双面板_16x9/个人贷款分产品2020.xlsx,xlsx,零售分产品结构和零售风险专题
数据/更新版数据/选中数据/补充图表_零售不良_图1_行业锚与五区域双面板_16x9/个人贷款分产品2021.xlsx,xlsx,零售分产品结构和零售风险专题
数据/更新版数据/选中数据/补充图表_零售不良_图1_行业锚与五区域双面板_16x9/个人贷款分产品2022.xlsx,xlsx,零售分产品结构和零售风险专题
数据/更新版数据/选中数据/补充图表_零售不良_图1_行业锚与五区域双面板_16x9/个人贷款分产品2023.xlsx,xlsx,零售分产品结构和零售风险专题
数据/更新版数据/选中数据/补充图表_零售不良_图1_行业锚与五区域双面板_16x9/个人贷款分产品2024.xlsx,xlsx,零售分产品结构和零售风险专题
数据/更新版数据/选中数据/补充图表_零售不良_图1_行业锚与五区域双面板_16x9/个人贷款分产品2025-城农商.xlsx,xlsx,零售分产品结构和零售风险专题
数据/更新版数据/逾期贷款2025-城农商.xlsx,xlsx,逾期结构、偏离度和风险确认专题
数据/更新版数据/金融投资分布2025-城农商.xlsx,xlsx,投资资产配置和波动收入专题
数据/更新版数据/金融资产三阶段分布2025-城农商.xlsx,xlsx,三阶段资产迁徙和预期信用损失专题
