bank,year,metric,metricName,mainValue,tushareValue,scrapedValue,selectedSource,scrapedSource,relatedScrapedTables,verificationStatus,differenceAbs,differencePct,managementAction
中国银行,2025,roa,总资产收益率,0.7026,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
中国银行,2025,roe,净资产收益率,8.94,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
中国银行,2025,costIncomeRatio,成本收入比,27.84,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
中国银行,2025,nim,净息差,1.26,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
中国银行,2025,npl,不良贷款率,1.23,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
中国银行,2025,provisionCoverage,拨备覆盖率,200.37,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
中国银行,2025,cet1,核心一级资本充足率,12.53,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
中国银行,2025,liquidityCoverageRatio,流动性覆盖率,150.6,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
交通银行,2025,roa,总资产收益率,0.6339,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
交通银行,2025,roe,净资产收益率,8.38,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
交通银行,2025,costIncomeRatio,成本收入比,29.3,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
交通银行,2025,nim,净息差,1.2,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
交通银行,2025,npl,不良贷款率,1.28,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
交通银行,2025,provisionCoverage,拨备覆盖率,208.38,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
交通银行,2025,cet1,核心一级资本充足率,11.43,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
交通银行,2025,liquidityCoverageRatio,流动性覆盖率,123.02,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
农业银行,2025,roa,总资产收益率,0.6346,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
农业银行,2025,roe,净资产收益率,10.16,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
农业银行,2025,costIncomeRatio,成本收入比,35.18,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
农业银行,2025,nim,净息差,1.28,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
农业银行,2025,npl,不良贷款率,1.27,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
农业银行,2025,provisionCoverage,拨备覆盖率,292.55,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
农业银行,2025,cet1,核心一级资本充足率,11.08,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
农业银行,2025,liquidityCoverageRatio,流动性覆盖率,133.5,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
工商银行,2025,roa,总资产收益率,0.7249,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
工商银行,2025,roe,净资产收益率,9.45,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
工商银行,2025,costIncomeRatio,成本收入比,28.05,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
工商银行,2025,nim,净息差,1.28,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
工商银行,2025,npl,不良贷款率,1.31,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
工商银行,2025,provisionCoverage,拨备覆盖率,213.6,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
工商银行,2025,cet1,核心一级资本充足率,13.57,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
工商银行,2025,liquidityCoverageRatio,流动性覆盖率,138.61,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
建设银行,2025,roa,总资产收益率,0.7883,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
建设银行,2025,roe,净资产收益率,10.04,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
建设银行,2025,costIncomeRatio,成本收入比,29.15,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
建设银行,2025,nim,净息差,1.34,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
建设银行,2025,npl,不良贷款率,1.31,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
建设银行,2025,provisionCoverage,拨备覆盖率,233.15,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
建设银行,2025,cet1,核心一级资本充足率,14.63,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
建设银行,2025,liquidityCoverageRatio,流动性覆盖率,135.47,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
邮储银行,2025,roa,总资产收益率,0.49,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
邮储银行,2025,roe,净资产收益率,8.67,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
邮储银行,2025,costIncomeRatio,成本收入比,62.1,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
邮储银行,2025,nim,净息差,1.66,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
邮储银行,2025,npl,不良贷款率,0.95,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
邮储银行,2025,provisionCoverage,拨备覆盖率,227.94,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
邮储银行,2025,cet1,核心一级资本充足率,10.53,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
邮储银行,2025,liquidityCoverageRatio,流动性覆盖率,302.45,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
中信银行,2025,roa,总资产收益率,0.7271,,0.73,main,special_metrics_long.csv:总资产收益率:p17,,matched,-0.0029,0.003973,主表值与核验源在容忍阈值内，可进入主报告。
中信银行,2025,roe,净资产收益率,9.39,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
中信银行,2025,costIncomeRatio,成本收入比,31.61,,31.61,main,special_metrics_long.csv:成本收入比:p17,,matched,0.0,0.0,主表值与核验源在容忍阈值内，可进入主报告。
中信银行,2025,nim,净息差,1.63,,1.63,main,nim_long.csv:nim_pct:p25,nim_long.csv;special_metrics_long.csv,matched,0.0,0.0,主表值与核验源在容忍阈值内，可进入主报告。
中信银行,2025,npl,不良贷款率,1.15,,1.15,main,special_metrics_long.csv:不良贷款率:p18,special_metrics_long.csv,matched,0.0,0.0,主表值与核验源在容忍阈值内，可进入主报告。
中信银行,2025,provisionCoverage,拨备覆盖率,203.61,,203.61,main,special_metrics_long.csv:拨备覆盖率:p18,special_metrics_long.csv,matched,0.0,0.0,主表值与核验源在容忍阈值内，可进入主报告。
中信银行,2025,cet1,核心一级资本充足率,9.48,,9.48,main,special_metrics_long.csv:核心一级资本充足率:p46,special_metrics_long.csv,matched,0.0,0.0,主表值与核验源在容忍阈值内，可进入主报告。
中信银行,2025,liquidityCoverageRatio,流动性覆盖率,144.22,,144.22,main,special_metrics_long.csv:流动性覆盖率:p109,liquidity_risk_long.csv;special_metrics_long.csv,matched,0.0,0.0,主表值与核验源在容忍阈值内，可进入主报告。
光大银行,2025,roa,总资产收益率,0.5542,,0.55,main,special_metrics_long.csv:总资产收益率:p17,,matched,0.0042,0.007636,主表值与核验源在容忍阈值内，可进入主报告。
光大银行,2025,roe,净资产收益率,7.0,,7.0,main,special_metrics_long.csv:净资产收益率:p17,,matched,0.0,0.0,主表值与核验源在容忍阈值内，可进入主报告。
光大银行,2025,costIncomeRatio,成本收入比,29.13,,29.13,main,special_metrics_long.csv:成本收入比:p17,,matched,0.0,0.0,主表值与核验源在容忍阈值内，可进入主报告。
光大银行,2025,nim,净息差,1.4,,1.4,main,nim_long.csv:nim_pct:p32,nim_long.csv;special_metrics_long.csv,matched,0.0,0.0,主表值与核验源在容忍阈值内，可进入主报告。
光大银行,2025,npl,不良贷款率,1.27,,1.27,main,special_metrics_long.csv:不良贷款率:p17,special_metrics_long.csv,matched,0.0,0.0,主表值与核验源在容忍阈值内，可进入主报告。
光大银行,2025,provisionCoverage,拨备覆盖率,174.14,,174.14,main,special_metrics_long.csv:拨备覆盖率:p17,special_metrics_long.csv,matched,0.0,0.0,主表值与核验源在容忍阈值内，可进入主报告。
光大银行,2025,cet1,核心一级资本充足率,9.69,,9.69,main,special_metrics_long.csv:核心一级资本充足率:p19;20,special_metrics_long.csv,matched,0.0,0.0,主表值与核验源在容忍阈值内，可进入主报告。
光大银行,2025,liquidityCoverageRatio,流动性覆盖率,143.11,,143.11,main,special_metrics_long.csv:流动性覆盖率:p20,liquidity_risk_long.csv;special_metrics_long.csv,matched,0.0,0.0,主表值与核验源在容忍阈值内，可进入主报告。
兴业银行,2025,roa,总资产收益率,0.7208,,0.72,main,special_metrics_long.csv:总资产收益率:p29,,matched,0.0008,0.001111,主表值与核验源在容忍阈值内，可进入主报告。
兴业银行,2025,roe,净资产收益率,9.15,,9.15,main,special_metrics_long.csv:净资产收益率:p29,,matched,0.0,0.0,主表值与核验源在容忍阈值内，可进入主报告。
兴业银行,2025,costIncomeRatio,成本收入比,29.56,,29.56,main,special_metrics_long.csv:成本收入比:p29,,matched,0.0,0.0,主表值与核验源在容忍阈值内，可进入主报告。
兴业银行,2025,nim,净息差,1.71,,1.71,main,nim_long.csv:nim_pct:p79,nim_long.csv;special_metrics_long.csv,matched,0.0,0.0,主表值与核验源在容忍阈值内，可进入主报告。
兴业银行,2025,npl,不良贷款率,1.08,,1.08,main,special_metrics_long.csv:不良贷款率:p32,special_metrics_long.csv,matched,0.0,0.0,主表值与核验源在容忍阈值内，可进入主报告。
兴业银行,2025,provisionCoverage,拨备覆盖率,228.41,,228.41,main,special_metrics_long.csv:拨备覆盖率:p32,special_metrics_long.csv,matched,0.0,0.0,主表值与核验源在容忍阈值内，可进入主报告。
兴业银行,2025,cet1,核心一级资本充足率,9.7,,9.7,main,special_metrics_long.csv:核心一级资本充足率:p30,special_metrics_long.csv,matched,0.0,0.0,主表值与核验源在容忍阈值内，可进入主报告。
兴业银行,2025,liquidityCoverageRatio,流动性覆盖率,174.79,,174.79,main,special_metrics_long.csv:流动性覆盖率:p121,liquidity_risk_long.csv;special_metrics_long.csv,matched,0.0,0.0,主表值与核验源在容忍阈值内，可进入主报告。
华夏银行,2025,roa,总资产收益率,0.609,,0.61,main,special_metrics_long.csv:总资产收益率:p9,,matched,-0.001,0.001639,主表值与核验源在容忍阈值内，可进入主报告。
华夏银行,2025,roe,净资产收益率,8.32,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
华夏银行,2025,costIncomeRatio,成本收入比,30.61,,30.61,main,special_metrics_long.csv:成本收入比(%):p9,,matched,0.0,0.0,主表值与核验源在容忍阈值内，可进入主报告。
华夏银行,2025,nim,净息差,1.56,,1.56,main,nim_long.csv:nim_pct:p9,nim_long.csv;special_metrics_long.csv,matched,0.0,0.0,主表值与核验源在容忍阈值内，可进入主报告。
华夏银行,2025,npl,不良贷款率,1.55,,1.55,main,special_metrics_long.csv:不良贷款率(%):p9,special_metrics_long.csv,matched,0.0,0.0,主表值与核验源在容忍阈值内，可进入主报告。
华夏银行,2025,provisionCoverage,拨备覆盖率,143.3,,143.3,main,special_metrics_long.csv:拨备覆盖率(%):p9,special_metrics_long.csv,matched,0.0,0.0,主表值与核验源在容忍阈值内，可进入主报告。
华夏银行,2025,cet1,核心一级资本充足率,9.38,,9.38,main,special_metrics_long.csv:核心一级资本充足率(%):p10,special_metrics_long.csv,matched,0.0,0.0,主表值与核验源在容忍阈值内，可进入主报告。
华夏银行,2025,liquidityCoverageRatio,流动性覆盖率,154.93,,154.93,main,special_metrics_long.csv:流动性覆盖率(%):p10,liquidity_risk_long.csv;special_metrics_long.csv,matched,0.0,0.0,主表值与核验源在容忍阈值内，可进入主报告。
平安银行,2025,roa,总资产收益率,0.7291,,0.73,main,special_metrics_long.csv:总资产收益率:p17,,matched,-0.0009,0.001233,主表值与核验源在容忍阈值内，可进入主报告。
平安银行,2025,roe,净资产收益率,9.15,,9.15,main,special_metrics_long.csv:加权平均净资产收益率:p17,,matched,0.0,0.0,主表值与核验源在容忍阈值内，可进入主报告。
平安银行,2025,costIncomeRatio,成本收入比,29.06,,29.06,main,special_metrics_long.csv:成本收入比:p17,,matched,0.0,0.0,主表值与核验源在容忍阈值内，可进入主报告。
平安银行,2025,nim,净息差,1.78,,1.73,main,nim_long.csv:nim_pct:p27,nim_long.csv;special_metrics_long.csv,source_conflict_review,0.05,0.028902,主表值与核验源差异超过阈值，需复核单位、符号或合并口径。
平安银行,2025,npl,不良贷款率,1.05,,1.05,main,special_metrics_long.csv:不良贷款率:p17,special_metrics_long.csv,matched,0.0,0.0,主表值与核验源在容忍阈值内，可进入主报告。
平安银行,2025,provisionCoverage,拨备覆盖率,220.88,,220.88,main,special_metrics_long.csv:拨备覆盖率:p17,special_metrics_long.csv,matched,0.0,0.0,主表值与核验源在容忍阈值内，可进入主报告。
平安银行,2025,cet1,核心一级资本充足率,9.36,,9.36,main,special_metrics_long.csv:核心一级资本充足率:p17,special_metrics_long.csv,matched,0.0,0.0,主表值与核验源在容忍阈值内，可进入主报告。
平安银行,2025,liquidityCoverageRatio,流动性覆盖率,132.87,,132.87,main,special_metrics_long.csv:流动性覆盖率:p21,liquidity_risk_long.csv;special_metrics_long.csv,matched,0.0,0.0,主表值与核验源在容忍阈值内，可进入主报告。
招商银行,2025,roa,总资产收益率,1.1983,,1.19,main,special_metrics_long.csv:总资产收益率:p14,,matched,0.0083,0.006975,主表值与核验源在容忍阈值内，可进入主报告。
招商银行,2025,roe,净资产收益率,13.44,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
招商银行,2025,costIncomeRatio,成本收入比,31.98,,31.98,main,special_metrics_long.csv:成本收入比(%):p16,,matched,0.0,0.0,主表值与核验源在容忍阈值内，可进入主报告。
招商银行,2025,nim,净息差,1.87,,1.86,main,nim_long.csv:nim_pct:p23,nim_long.csv;special_metrics_long.csv,matched,0.01,0.005376,主表值与核验源在容忍阈值内，可进入主报告。
招商银行,2025,npl,不良贷款率,0.94,,0.94,main,special_metrics_long.csv:不良贷款率(%):p16,special_metrics_long.csv,matched,0.0,0.0,主表值与核验源在容忍阈值内，可进入主报告。
招商银行,2025,provisionCoverage,拨备覆盖率,391.79,,391.79,main,special_metrics_long.csv:拨备覆盖率(%):p16,special_metrics_long.csv,matched,0.0,0.0,主表值与核验源在容忍阈值内，可进入主报告。
招商银行,2025,cet1,核心一级资本充足率,14.16,,14.16,main,special_metrics_long.csv:核心一级资本充足率(%):p38,special_metrics_long.csv,matched,0.0,0.0,主表值与核验源在容忍阈值内，可进入主报告。
招商银行,2025,liquidityCoverageRatio,流动性覆盖率,175.51,,220.3,main,special_metrics_long.csv:流动性覆盖率(%):p17,liquidity_risk_long.csv;special_metrics_long.csv,source_conflict_review,-44.79,0.203314,主表值与核验源差异超过阈值，需复核单位、符号或合并口径。
民生银行,2025,roa,总资产收益率,0.3909,,0.39,main,special_metrics_long.csv:总资产收益率:p13,,matched,0.0009,0.002308,主表值与核验源在容忍阈值内，可进入主报告。
民生银行,2025,roe,净资产收益率,4.93,,4.93,main,special_metrics_long.csv:净资产收益率:p13,,matched,0.0,0.0,主表值与核验源在容忍阈值内，可进入主报告。
民生银行,2025,costIncomeRatio,成本收入比,35.7,,35.7,main,special_metrics_long.csv:成本收入比:p13,,matched,0.0,0.0,主表值与核验源在容忍阈值内，可进入主报告。
民生银行,2025,nim,净息差,1.4,,1.4,main,nim_long.csv:nim_pct:p29,nim_long.csv;special_metrics_long.csv,matched,0.0,0.0,主表值与核验源在容忍阈值内，可进入主报告。
民生银行,2025,npl,不良贷款率,1.49,,1.49,main,special_metrics_long.csv:不良贷款率:p14,special_metrics_long.csv,matched,0.0,0.0,主表值与核验源在容忍阈值内，可进入主报告。
民生银行,2025,provisionCoverage,拨备覆盖率,142.04,,142.04,main,special_metrics_long.csv:拨备覆盖率:p14,special_metrics_long.csv,matched,0.0,0.0,主表值与核验源在容忍阈值内，可进入主报告。
民生银行,2025,cet1,核心一级资本充足率,9.38,,9.38,main,special_metrics_long.csv:核心一级资本充足率:p14,special_metrics_long.csv,matched,0.0,0.0,主表值与核验源在容忍阈值内，可进入主报告。
民生银行,2025,liquidityCoverageRatio,流动性覆盖率,135.6,,135.6,main,special_metrics_long.csv:流动性覆盖率:p16,liquidity_risk_long.csv;special_metrics_long.csv,matched,0.0,0.0,主表值与核验源在容忍阈值内，可进入主报告。
浙商银行,2025,roa,总资产收益率,0.3985,,0.4,main,special_metrics_long.csv:总资产收益率:p22,,matched,-0.0015,0.00375,主表值与核验源在容忍阈值内，可进入主报告。
浙商银行,2025,roe,净资产收益率,6.8,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
浙商银行,2025,costIncomeRatio,成本收入比,32.09,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
浙商银行,2025,nim,净息差,1.6,,1.6,main,nim_long.csv:nim_pct:p29,nim_long.csv;special_metrics_long.csv,matched,0.0,0.0,主表值与核验源在容忍阈值内，可进入主报告。
浙商银行,2025,npl,不良贷款率,1.36,,,main,,special_metrics_long.csv,scraped_pending_fieldization,,,主表已有值，年报有相关明细但暂未稳定映射到该字段。
浙商银行,2025,provisionCoverage,拨备覆盖率,155.37,,,main,,special_metrics_long.csv,scraped_pending_fieldization,,,主表已有值，年报有相关明细但暂未稳定映射到该字段。
浙商银行,2025,cet1,核心一级资本充足率,8.4,,,main,,special_metrics_long.csv,scraped_pending_fieldization,,,主表已有值，年报有相关明细但暂未稳定映射到该字段。
浙商银行,2025,liquidityCoverageRatio,流动性覆盖率,174.01,,179.52,main,special_metrics_long.csv:流动性覆盖率(%):p54,liquidity_risk_long.csv;special_metrics_long.csv,source_conflict_review,-5.51,0.030693,主表值与核验源差异超过阈值，需复核单位、符号或合并口径。
浦发银行,2025,roa,总资产收益率,0.5158,,0.52,main,special_metrics_long.csv:总资产收益率:p28,,matched,-0.0042,0.008077,主表值与核验源在容忍阈值内，可进入主报告。
浦发银行,2025,roe,净资产收益率,6.76,,6.76,main,special_metrics_long.csv:净资产收益率:p28,,matched,0.0,0.0,主表值与核验源在容忍阈值内，可进入主报告。
浦发银行,2025,costIncomeRatio,成本收入比,28.5,,28.5,main,special_metrics_long.csv:成本收入比:p28,,matched,0.0,0.0,主表值与核验源在容忍阈值内，可进入主报告。
浦发银行,2025,nim,净息差,1.42,,1.42,main,nim_long.csv:nim_pct:p28,nim_long.csv;special_metrics_long.csv,matched,0.0,0.0,主表值与核验源在容忍阈值内，可进入主报告。
浦发银行,2025,npl,不良贷款率,1.26,,1.26,main,special_metrics_long.csv:不良贷款率:p28,special_metrics_long.csv,matched,0.0,0.0,主表值与核验源在容忍阈值内，可进入主报告。
浦发银行,2025,provisionCoverage,拨备覆盖率,200.72,,200.72,main,special_metrics_long.csv:拨备覆盖率:p28,special_metrics_long.csv,matched,0.0,0.0,主表值与核验源在容忍阈值内，可进入主报告。
浦发银行,2025,cet1,核心一级资本充足率,8.99,,8.99,main,special_metrics_long.csv:核心一级资本充足率:p86,special_metrics_long.csv,matched,0.0,0.0,主表值与核验源在容忍阈值内，可进入主报告。
浦发银行,2025,liquidityCoverageRatio,流动性覆盖率,140.92,,140.92,main,special_metrics_long.csv:流动性覆盖率:p87,liquidity_risk_long.csv;special_metrics_long.csv,matched,0.0,0.0,主表值与核验源在容忍阈值内，可进入主报告。
渤海银行,2025,roa,总资产收益率,0.291,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
渤海银行,2025,roe,净资产收益率,5.2,,5.2,main,special_metrics_long.csv:加权平均净资产收益率:p11,,matched,0.0,0.0,主表值与核验源在容忍阈值内，可进入主报告。
渤海银行,2025,costIncomeRatio,成本收入比,38.01,,38.01,main,special_metrics_long.csv:成本收入比:p12,,matched,0.0,0.0,主表值与核验源在容忍阈值内，可进入主报告。
渤海银行,2025,nim,净息差,1.37,,1.37,main,nim_long.csv:nim_pct:p12,nim_long.csv;special_metrics_long.csv,matched,0.0,0.0,主表值与核验源在容忍阈值内，可进入主报告。
