metric,metricName,sourceRole,primarySource,supplementSource,validationSource,detailTables,unitPolicy,signPolicy,consolidationPolicy,replacementStrategy,reportUse,conflictThreshold
roa,总资产收益率,primary,main,,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,作为 Portal 默认经营主表；补充源只解释差异，不直接覆盖。,默认诊断、对标、正式报告,0.03
roe,净资产收益率,primary,main,,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,作为 Portal 默认经营主表；补充源只解释差异，不直接覆盖。,默认诊断、对标、正式报告,0.1
revenue,revenue,primary,main,,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,作为 Portal 默认经营主表；补充源只解释差异，不直接覆盖。,默认诊断、对标、正式报告,0.05
netProfit,netProfit,primary,main,,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,作为 Portal 默认经营主表；补充源只解释差异，不直接覆盖。,默认诊断、对标、正式报告,0.05
coreRevenueGrowth,coreRevenueGrowth,primary,main,,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,作为 Portal 默认经营主表；补充源只解释差异，不直接覆盖。,默认诊断、对标、正式报告,0.05
revenueGrowth,revenueGrowth,primary,main,,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,作为 Portal 默认经营主表；补充源只解释差异，不直接覆盖。,默认诊断、对标、正式报告,0.05
netProfitGrowth,netProfitGrowth,primary,main,,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,作为 Portal 默认经营主表；补充源只解释差异，不直接覆盖。,默认诊断、对标、正式报告,0.05
ppopGrowth,ppopGrowth,primary,main,,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,作为 Portal 默认经营主表；补充源只解释差异，不直接覆盖。,默认诊断、对标、正式报告,0.05
costIncomeRatio,成本收入比,primary,main,,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,作为 Portal 默认经营主表；补充源只解释差异，不直接覆盖。,默认诊断、对标、正式报告,0.2
feeAssetRatio,feeAssetRatio,primary,main,,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,作为 Portal 默认经营主表；补充源只解释差异，不直接覆盖。,默认诊断、对标、正式报告,0.05
trueCoreNonInterest,trueCoreNonInterest,primary,main,,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,作为 Portal 默认经营主表；补充源只解释差异，不直接覆盖。,默认诊断、对标、正式报告,0.05
volatileIncomeShare,volatileIncomeShare,primary,main,,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,作为 Portal 默认经营主表；补充源只解释差异，不直接覆盖。,默认诊断、对标、正式报告,0.05
cashProfitRatio,cashProfitRatio,primary,main,,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,作为 Portal 默认经营主表；补充源只解释差异，不直接覆盖。,默认诊断、对标、正式报告,0.05
nim,净息差,validation,main,,annual_report_scraped,nim_long.csv;special_metrics_long.csv,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,主数据优先；年报抓取用于 2025 核验，主表缺失时可补值，但需保留来源和页码。,主报告可用，需保留核验脚注,0.03
nimGapBp,nimGapBp,primary,main,,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,作为 Portal 默认经营主表；补充源只解释差异，不直接覆盖。,默认诊断、对标、正式报告,0.05
nimGapPoint,nimGapPoint,primary,main,,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,作为 Portal 默认经营主表；补充源只解释差异，不直接覆盖。,默认诊断、对标、正式报告,0.05
earningAssetYield,earningAssetYield,validation,main,,annual_report_scraped,nim_long.csv,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,主数据优先；年报抓取用于 2025 核验，主表缺失时可补值，但需保留来源和页码。,主报告可用，需保留核验脚注,0.05
interestLiabilityCost,interestLiabilityCost,validation,main,,annual_report_scraped,nim_long.csv,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,主数据优先；年报抓取用于 2025 核验，主表缺失时可补值，但需保留来源和页码。,主报告可用，需保留核验脚注,0.05
realLoanDepositSpread,realLoanDepositSpread,validation,main,,annual_report_scraped,special_metrics_long.csv,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,主数据优先；年报抓取用于 2025 核验，主表缺失时可补值，但需保留来源和页码。,主报告可用，需保留核验脚注,0.05
timeDepositShare,timeDepositShare,primary,main,,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,作为 Portal 默认经营主表；补充源只解释差异，不直接覆盖。,默认诊断、对标、正式报告,0.05
corporateDemandDepositShare,corporateDemandDepositShare,primary,main,,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,作为 Portal 默认经营主表；补充源只解释差异，不直接覆盖。,默认诊断、对标、正式报告,0.05
personalDemandDepositShare,personalDemandDepositShare,primary,main,,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,作为 Portal 默认经营主表；补充源只解释差异，不直接覆盖。,默认诊断、对标、正式报告,0.05
corporateTimeDeposit,corporateTimeDeposit,primary,main,,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,作为 Portal 默认经营主表；补充源只解释差异，不直接覆盖。,默认诊断、对标、正式报告,0.05
personalTimeDeposit,personalTimeDeposit,primary,main,,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,作为 Portal 默认经营主表；补充源只解释差异，不直接覆盖。,默认诊断、对标、正式报告,0.05
npl,不良贷款率,validation,main,,annual_report_scraped,special_metrics_long.csv,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,主数据优先；年报抓取用于 2025 核验，主表缺失时可补值，但需保留来源和页码。,主报告可用，需保留核验脚注,0.03
provisionCoverage,拨备覆盖率,validation,main,,annual_report_scraped,special_metrics_long.csv,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,主数据优先；年报抓取用于 2025 核验，主表缺失时可补值，但需保留来源和页码。,主报告可用，需保留核验脚注,1.0
overdueRatio,overdueRatio,primary,main,,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,作为 Portal 默认经营主表；补充源只解释差异，不直接覆盖。,默认诊断、对标、正式报告,0.05
specialMentionRatio,specialMentionRatio,primary,main,,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,作为 Portal 默认经营主表；补充源只解释差异，不直接覆盖。,默认诊断、对标、正式报告,0.05
overdueNplDeviation,overdueNplDeviation,primary,main,,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,作为 Portal 默认经营主表；补充源只解释差异，不直接覆盖。,默认诊断、对标、正式报告,0.05
hiddenNplExposure,hiddenNplExposure,primary,main,,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,作为 Portal 默认经营主表；补充源只解释差异，不直接覆盖。,默认诊断、对标、正式报告,0.05
personalLoanNpl,personalLoanNpl,detail-only,main,,annual_report_scraped,loan_npl_product_long.csv,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,仅进入专题 drill 或后端明细事实表，不硬塞进前端宽表。,专题明细、数据复核、附录,0.05
corporateLoanNpl,corporateLoanNpl,primary,main,,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,作为 Portal 默认经营主表；补充源只解释差异，不直接覆盖。,默认诊断、对标、正式报告,0.05
housingLoanNpl,housingLoanNpl,detail-only,main,,annual_report_scraped,loan_npl_product_long.csv,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,仅进入专题 drill 或后端明细事实表，不硬塞进前端宽表。,专题明细、数据复核、附录,0.05
consumerLoanNpl,consumerLoanNpl,detail-only,main,,annual_report_scraped,loan_npl_product_long.csv,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,仅进入专题 drill 或后端明细事实表，不硬塞进前端宽表。,专题明细、数据复核、附录,0.05
businessLoanNpl,businessLoanNpl,detail-only,main,,annual_report_scraped,loan_npl_product_long.csv,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,仅进入专题 drill 或后端明细事实表，不硬塞进前端宽表。,专题明细、数据复核、附录,0.05
creditCardLoanNpl,creditCardLoanNpl,detail-only,main,,annual_report_scraped,loan_npl_product_long.csv,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,仅进入专题 drill 或后端明细事实表，不硬塞进前端宽表。,专题明细、数据复核、附录,0.05
housingLoanShare,housingLoanShare,primary,main,,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,作为 Portal 默认经营主表；补充源只解释差异，不直接覆盖。,默认诊断、对标、正式报告,0.05
consumerLoanShare,consumerLoanShare,primary,main,,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,作为 Portal 默认经营主表；补充源只解释差异，不直接覆盖。,默认诊断、对标、正式报告,0.05
businessLoanShare,businessLoanShare,primary,main,,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,作为 Portal 默认经营主表；补充源只解释差异，不直接覆盖。,默认诊断、对标、正式报告,0.05
retailRiskMax,retailRiskMax,primary,main,,,,金额字段统一为万元；比例字段统一为百分比；市场字段保留 Tushare 原始披露单位并在展示层格式化。,利息支出、所得税、信用减值等损益字段先按披露正负号登记，再在计算层统一方向。,默认采用合并口径；母公司或单体口径只能进入 detail-only 或脚注。,作为 Portal 默认经营主表；补充源只解释差异，不直接覆盖。,默认诊断、对标、正式报告,0.05
