field,bank,year,source,scraped_value,other_value,pct_diff,scraped_source
incomeTax,上海,2025,main,-411132.1,411132.1,2.0,financials_core_long.csv:所得税费用:p162
incomeTax,中原,2025,main,129348.7,-129348.7,2.0,financials_core_long.csv:所得税费用:p156-157
incomeTax,徽商,2025,main,-225880.1,225880.1,2.0,financials_core_long.csv:所得税费用:p170
incomeTax,杭州,2025,main,-215949.2,215949.2,2.0,financials_core_long.csv:所得税费用:p117
incomeTax,渤海银行,2025,main,-7439.8,7439.8,2.0,financials_core_long.csv:所得税费用:p127
incomeTax,贵州,2025,main,-55153.3,55153.3,2.0,financials_core_long.csv:所得税费用:p118
incomeTax,郑州,2025,main,883.9,-883.9,2.0,financials_core_long.csv:所得税费用:p130
incomeTax,重庆,2025,main,-64761.1,64761.1,2.0,financials_core_long.csv:所得税费用:p167
incomeTax,青岛,2025,main,-88723.4,88723.4,2.0,financials_core_long.csv:所得税费用:p8
interestExpense,上海,2025,main,-4765237.7,4765237.7,2.0,financials_core_long.csv:利息支出:p161
interestExpense,东莞农商行,2025,main,-1113108.9,1113108.9,2.0,financials_core_long.csv:利息支出:p148
interestExpense,中原,2025,main,-2286713.9,2286713.9,2.0,financials_core_long.csv:利息支出:p156-157
interestExpense,哈尔滨,2025,main,-1875904.1,1875904.1,2.0,financials_core_long.csv:利息支出:p174
interestExpense,天津,2025,main,-1802170.9,1802170.9,2.0,financials_core_long.csv:利息支出:p193
interestExpense,广州农商行,2025,main,-2144808.4,2144808.4,2.0,financials_core_long.csv:利息支出:p169
interestExpense,徽商,2025,main,-3662032.6,3662032.6,2.0,financials_core_long.csv:利息支出:p170
interestExpense,杭州,2025,main,-3557772.4,3557772.4,2.0,financials_core_long.csv:利息支出:p117
interestExpense,渤海银行,2025,main,-3408440.9,3408440.9,2.0,financials_core_long.csv:利息支出:p127
interestExpense,贵州,2025,main,-1076423.6,1076423.6,2.0,financials_core_long.csv:利息支出:p118
interestExpense,郑州,2025,main,-1284065.3,1284065.3,2.0,financials_core_long.csv:利息支出:p130
interestExpense,重庆,2025,main,-1912912.7,1912912.7,2.0,financials_core_long.csv:利息支出:p167
interestExpense,青岛,2025,main,-1212200.0,1212200.0,2.0,financials_core_long.csv:利息支出:p20
incomeTax,光大银行,2025,main,-10546.0,1054600.0,1.01,financials_core_long.csv:所得税费用:p174;175
incomeTax,华夏银行,2025,main,-6423.0,642300.0,1.01,financials_core_long.csv:所得税费用:p123
incomeTax,平安银行,2025,main,-8526.0,852600.0,1.01,financials_core_long.csv:所得税费用:p11
incomeTax,晋商,2025,main,-22.403,2240.3,1.01,financials_core_long.csv:所得税费用:p157
incomeTax,民生银行,2025,main,-1677.0,167700.0,1.01,financials_core_long.csv:所得税费用:p120
interestExpense,中信银行,2025,main,-140119.0,14011900.0,1.01,financials_core_long.csv:利息支出:p243
interestExpense,光大银行,2025,main,-119057.0,11905700.0,1.01,financials_core_long.csv:利息支出:p174;175
interestExpense,华夏银行,2025,main,-72203.0,7220300.0,1.01,financials_core_long.csv:利息支出:p123
interestExpense,招商银行,2025,main,-135758.0,13575800.0,1.01,financials_core_long.csv:利息支出:p131
interestExpense,晋商,2025,main,-6912.238,691223.8,1.01,financials_core_long.csv:利息支出:p157
interestExpense,民生银行,2025,main,-122729.0,12272900.0,1.01,financials_core_long.csv:利息支出:p120
interestExpense,浙商银行,2025,main,-57174.0,5717400.0,1.01,financials_core_long.csv:利息支出:p157
personalLoanNpl,南京,2025,main,1.49,0.0,1.0,loan_npl_product_long.csv:个人贷款:p36
personalLoanNpl,渤海银行,2025,main,3.8,0.0,1.0,loan_npl_product_long.csv:个人贷款:p31
deposits,张家港农商行,2025,main,182145000000.0,17787011.7955,0.9999023469664525,financials_core_long.csv:吸收存款:p74
liabilities,张家港农商行,2025,main,206533000000.0,20653254.8132,0.9999000002187873,financials_core_long.csv:负债合计:p74
incomeTax,张家港农商行,2025,main,269299754.2,26929.9754,0.9999000000000744,financials_core_long.csv:所得税费用:p76
equity,张家港农商行,2025,main,20704644547.0,2070464.4547,0.9999,financials_core_long.csv:股东权益合计:p74
interestExpense,张家港农商行,2025,main,3506975631.0,350697.5631,0.9999,financials_core_long.csv:利息支出:p75
interestIncome,张家港农商行,2025,main,6542942535.0,654294.2535,0.9999,financials_core_long.csv:利息收入:p75
netInterestIncome,张家港农商行,2025,main,3035966904.0,303596.6904,0.9999,financials_core_long.csv:利息净收入:p75
netProfit,张家港农商行,2025,main,1981577197.0,198157.7197,0.9998999999999999,financials_core_long.csv:净利润:p76
feeIncome,张家港农商行,2025,main,99196274.96,9919.6275,0.9998999999999597,financials_core_long.csv:手续费及佣金净收入:p75
assets,张家港农商行,2025,main,227237000000.0,22723719.2678,0.9998999999152084,financials_core_long.csv:资产总计:p73
loans,张家港农商行,2025,main,144105000000.0,14835845.496,0.9998970483640679,financials_core_long.csv:发放贷款和垫款:p73
loans,宜宾市,2025,main,68181.533,7102606.7,0.9904004915547415,financials_core_long.csv:发放贷款和垫款:p160
loans,江西,2025,main,352895.87,36336747.9,0.9902881823389594,financials_core_long.csv:发放贷款和垫款:p193
loans,北京,2025,main,2344118.0,239975500.0,0.9902318445007928,financials_core_long.csv:发放贷款和垫款:p154
loans,浦发银行,2025,main,5572502.0,570397300.0,0.9902304902214649,financials_core_long.csv:发放贷款和垫款:p157
loans,九江,2025,main,321286.3,32884272.0,0.9902297882708183,financials_core_long.csv:发放贷款和垫款:p154
loans,兴业银行,2025,main,5821808.0,594893800.0,0.990213702008661,financials_core_long.csv:发放贷款和垫款:p188
loans,平安银行,2025,main,3320386.0,339084000.0,0.9902077774238832,financials_core_long.csv:发放贷款和垫款:p7
loans,华夏银行,2025,main,2518416.0,256666600.0,0.9901879870618148,financials_core_long.csv:发放贷款和垫款:p121
loans,光大银行,2025,main,3911379.0,398021800.0,0.9901729528382617,financials_core_long.csv:发放贷款和垫款:p171
loans,浙商银行,2025,main,1883237.0,191348900.0,0.9901580986355292,financials_core_long.csv:发放贷款和垫款:p154
loans,威海,2025,main,223695.3,22699859.5,0.9901455205042128,financials_core_long.csv:发放贷款和垫款:p148
loans,民生银行,2025,main,4374231.0,443061000.0,0.9901272488438386,financials_core_long.csv:发放贷款和垫款:p117
revenue,九江,2025,main,10477.0,1057088.9,0.9900888184522607,financials_core_long.csv:营业收入:p152
feeIncome,威海,2025,main,743.4,74343.149,0.9900004235763541,financials_core_long.csv:手续费及佣金净收入:p146
netProfit,九江,2025,main,841.0,84103.4,0.9900004042642747,financials_core_long.csv:净利润:p152
incomeTax,江西,2025,main,-322.91,-32291.4,0.9900001238719907,financials_core_long.csv:所得税费用:p191
netProfit,威海,2025,main,2503.7,250372.9205,0.9900001166460012,financials_core_long.csv:净利润:p146
feeIncome,九江,2025,main,578.2,57820.4,0.9900000691797359,financials_core_long.csv:手续费及佣金净收入:p152
netInterestIncome,威海,2025,main,7716.8,771683.4507,0.9900000447165219,financials_core_long.csv:利息净收入:p146
netInterestIncome,九江,2025,main,8598.5,859850.8,0.9900000093039397,financials_core_long.csv:利息净收入:p152
interestIncome,晋商,2025,main,10778.326,1077832.6,0.9900000000000001,financials_core_long.csv:利息收入:p157
assets,中信银行,2025,main,10131028.0,1013102800.0,0.99,financials_core_long.csv:资产总计:p240
assets,光大银行,2025,main,7165319.0,716531900.0,0.99,financials_core_long.csv:资产总计:p171
assets,北京,2025,main,4938273.0,493827300.0,0.99,financials_core_long.csv:资产总计:p154
assets,华夏银行,2025,main,4737619.0,473761900.0,0.99,financials_core_long.csv:资产总计:p121
assets,平安银行,2025,main,5925777.0,592577700.0,0.99,financials_core_long.csv:资产总计:p7
assets,招商银行,2025,main,13070523.0,1307052300.0,0.99,financials_core_long.csv:资产总计:p127
assets,民生银行,2025,main,7832567.0,783256700.0,0.99,financials_core_long.csv:资产总计:p117
assets,泸州,2025,main,202461.917,20246191.7,0.99,financials_core_long.csv:资产总计:p22
assets,浙商银行,2025,main,3481092.0,348109200.0,0.99,financials_core_long.csv:资产总计:p154
assets,浦发银行,2025,main,10081746.0,1008174600.0,0.99,financials_core_long.csv:资产总计:p157
equity,中信银行,2025,main,847630.0,84763000.0,0.99,financials_core_long.csv:股东权益合计:p242
equity,光大银行,2025,main,607442.0,60744200.0,0.99,financials_core_long.csv:股东权益合计:p173
equity,兴业银行,2025,main,913646.0,91364600.0,0.99,financials_core_long.csv:股东权益合计:p190
equity,北京,2025,main,378645.0,37864500.0,0.99,financials_core_long.csv:股东权益合计:p156
equity,华夏银行,2025,main,399800.0,39980000.0,0.99,financials_core_long.csv:股东权益合计:p122
equity,平安银行,2025,main,551184.0,55118400.0,0.99,financials_core_long.csv:股东权益合计:p7
equity,招商银行,2025,main,1280899.0,128089900.0,0.99,financials_core_long.csv:股东权益合计:p127
equity,民生银行,2025,main,703197.0,70319700.0,0.99,financials_core_long.csv:股东权益合计:p119
equity,浙商银行,2025,main,207335.0,20733500.0,0.99,financials_core_long.csv:股东权益合计:p156
equity,浦发银行,2025,main,824430.0,82443000.0,0.99,financials_core_long.csv:股东权益合计:p159
feeIncome,中信银行,2025,main,32772.0,3277200.0,0.99,financials_core_long.csv:手续费及佣金净收入:p243
feeIncome,光大银行,2025,main,20252.0,2025200.0,0.99,financials_core_long.csv:手续费及佣金净收入:p174;175
feeIncome,兴业银行,2025,main,25891.0,2589100.0,0.99,financials_core_long.csv:手续费及佣金净收入:p191
feeIncome,北京,2025,main,3825.0,382500.0,0.99,financials_core_long.csv:手续费及佣金净收入:p157
feeIncome,华夏银行,2025,main,5576.0,557600.0,0.99,financials_core_long.csv:手续费及佣金净收入:p123
feeIncome,宁波,2025,main,6085.0,608500.0,0.99,financials_core_long.csv:手续费及佣金净收入:p18
feeIncome,平安银行,2025,main,23894.0,2389400.0,0.99,financials_core_long.csv:手续费及佣金净收入:p11
feeIncome,招商银行,2025,main,75258.0,7525800.0,0.99,financials_core_long.csv:手续费及佣金净收入:p131
feeIncome,晋商,2025,main,619.486,61948.6,0.99,financials_core_long.csv:手续费及佣金净收入:p157
feeIncome,民生银行,2025,main,18321.0,1832100.0,0.99,financials_core_long.csv:手续费及佣金净收入:p120
feeIncome,浙商银行,2025,main,3752.0,375200.0,0.99,financials_core_long.csv:手续费及佣金净收入:p157
feeIncome,浦发银行,2025,main,22725.0,2272500.0,0.99,financials_core_long.csv:手续费及佣金净收入:p160
incomeTax,兴业银行,2025,main,12119.0,1211900.0,0.99,financials_core_long.csv:所得税费用:p191
incomeTax,宁波,2025,main,2632.0,263200.0,0.99,financials_core_long.csv:所得税费用:p18
incomeTax,浦发银行,2025,main,2969.0,296900.0,0.99,financials_core_long.csv:所得税费用:p161
interestExpense,宁波,2025,main,52044.0,5204400.0,0.99,financials_core_long.csv:利息支出:p18
interestIncome,中信银行,2025,main,284588.0,28458800.0,0.99,financials_core_long.csv:利息收入:p243
interestIncome,光大银行,2025,main,211158.0,21115800.0,0.99,financials_core_long.csv:利息收入:p174;175
interestIncome,华夏银行,2025,main,135151.0,13515100.0,0.99,financials_core_long.csv:利息收入:p123
interestIncome,宁波,2025,main,105205.0,10520500.0,0.99,financials_core_long.csv:利息收入:p18
interestIncome,招商银行,2025,main,351351.0,35135100.0,0.99,financials_core_long.csv:利息收入:p131
interestIncome,民生银行,2025,main,222855.0,22285500.0,0.99,financials_core_long.csv:利息收入:p120
interestIncome,浙商银行,2025,main,101633.0,10163300.0,0.99,financials_core_long.csv:利息收入:p157
liabilities,中信银行,2025,main,9283398.0,928339800.0,0.99,financials_core_long.csv:负债合计:p241
liabilities,光大银行,2025,main,6557877.0,655787700.0,0.99,financials_core_long.csv:负债合计:p172
liabilities,北京,2025,main,4559628.0,455962800.0,0.99,financials_core_long.csv:负债合计:p155
liabilities,华夏银行,2025,main,4337819.0,433781900.0,0.99,financials_core_long.csv:负债合计:p122
liabilities,宁波,2025,main,3380042.0,338004200.0,0.99,financials_core_long.csv:负债合计:p23
liabilities,平安银行,2025,main,5374593.0,537459300.0,0.99,financials_core_long.csv:负债合计:p7
liabilities,招商银行,2025,main,11789624.0,1178962400.0,0.99,financials_core_long.csv:负债合计:p127
liabilities,民生银行,2025,main,7129370.0,712937000.0,0.99,financials_core_long.csv:负债合计:p118
liabilities,浙商银行,2025,main,3273757.0,327375700.0,0.99,financials_core_long.csv:负债合计:p155
liabilities,浦发银行,2025,main,9257316.0,925731600.0,0.99,financials_core_long.csv:负债合计:p158
netInterestIncome,中信银行,2025,main,144469.0,14446900.0,0.99,financials_core_long.csv:利息净收入:p243
netInterestIncome,光大银行,2025,main,92101.0,9210100.0,0.99,financials_core_long.csv:利息净收入:p174;175
netInterestIncome,兴业银行,2025,main,148752.0,14875200.0,0.99,financials_core_long.csv:利息净收入:p191
netInterestIncome,北京,2025,main,52875.0,5287500.0,0.99,financials_core_long.csv:利息净收入:p157
netInterestIncome,华夏银行,2025,main,62948.0,6294800.0,0.99,financials_core_long.csv:利息净收入:p123
netInterestIncome,宁波,2025,main,53161.0,5316100.0,0.99,financials_core_long.csv:利息净收入:p18
netInterestIncome,平安银行,2025,main,88021.0,8802100.0,0.99,financials_core_long.csv:利息净收入:p11
netInterestIncome,招商银行,2025,main,215593.0,21559300.0,0.99,financials_core_long.csv:利息净收入:p131
netInterestIncome,晋商,2025,main,3866.088,386608.8,0.99,financials_core_long.csv:利息净收入:p157
netInterestIncome,民生银行,2025,main,100126.0,10012600.0,0.99,financials_core_long.csv:利息净收入:p120
netInterestIncome,浙商银行,2025,main,44459.0,4445900.0,0.99,financials_core_long.csv:利息净收入:p157
netInterestIncome,浦发银行,2025,main,120483.0,12048300.0,0.99,financials_core_long.csv:利息净收入:p160
netProfit,中信银行,2025,main,71490.0,7149000.0,0.99,financials_core_long.csv:净利润:p243
netProfit,光大银行,2025,main,39141.0,3914100.0,0.99,financials_core_long.csv:净利润:p174;175
netProfit,兴业银行,2025,main,77854.0,7785400.0,0.99,financials_core_long.csv:净利润:p191
netProfit,北京,2025,main,20129.0,2012900.0,0.99,financials_core_long.csv:净利润:p158
netProfit,华夏银行,2025,main,27751.0,2775100.0,0.99,financials_core_long.csv:净利润:p123
netProfit,宁波,2025,main,29529.0,2952900.0,0.99,financials_core_long.csv:净利润:p18
netProfit,平安银行,2025,main,42633.0,4263300.0,0.99,financials_core_long.csv:净利润:p11
netProfit,招商银行,2025,main,151126.0,15112600.0,0.99,financials_core_long.csv:净利润:p131
netProfit,民生银行,2025,main,30582.0,3058200.0,0.99,financials_core_long.csv:净利润:p121
netProfit,泸州,2025,main,1542.388,154238.8,0.99,financials_core_long.csv:净利润:p6
netProfit,浙商银行,2025,main,13561.0,1356100.0,0.99,financials_core_long.csv:净利润:p158
netProfit,浦发银行,2025,main,50405.0,5040500.0,0.99,financials_core_long.csv:净利润:p161
revenue,中信银行,2025,main,212475.0,21247500.0,0.99,financials_core_long.csv:营业收入:p243
revenue,兴业银行,2025,main,212741.0,21274100.0,0.99,financials_core_long.csv:营业收入:p191
revenue,北京,2025,main,68036.0,6803600.0,0.99,financials_core_long.csv:营业收入:p157
revenue,华夏银行,2025,main,91914.0,9191400.0,0.99,financials_core_long.csv:营业收入:p123
revenue,宁波,2025,main,71969.0,7196900.0,0.99,financials_core_long.csv:营业收入:p18
revenue,平安银行,2025,main,131442.0,13144200.0,0.99,financials_core_long.csv:营业收入:p11
revenue,招商银行,2025,main,337532.0,33753200.0,0.99,financials_core_long.csv:营业收入:p131
revenue,晋商,2025,main,5444.557,544455.7,0.99,financials_core_long.csv:营业收入:p157
revenue,民生银行,2025,main,142865.0,14286500.0,0.99,financials_core_long.csv:营业收入:p120
revenue,江西,2025,main,9028.49,902849.0,0.99,financials_core_long.csv:营业收入:p191
revenue,浙商银行,2025,main,62514.0,6251400.0,0.99,financials_core_long.csv:营业收入:p157
revenue,浦发银行,2025,main,173964.0,17396400.0,0.99,financials_core_long.csv:营业收入:p160
netProfit,晋商,2025,main,1663.374,166337.4,0.9899999999999999,financials_core_long.csv:净利润:p157
liabilities,江西,2025,main,540923.76,54092375.9,0.9899999999815131,financials_core_long.csv:负债合计:p193
assets,江西,2025,main,589218.68,58921867.8,0.9899999999660567,financials_core_long.csv:资产总计:p193
assets,威海,2025,main,504520.5,50452049.6042,0.9899999999215493,financials_core_long.csv:资产总计:p148
equity,江西,2025,main,48294.92,4829491.9,0.9899999997929388,financials_core_long.csv:股东权益合计:p194
liabilities,九江,2025,main,474811.8,47481177.0,0.9899999993681707,financials_core_long.csv:负债合计:p154
assets,九江,2025,main,523434.6,52343455.9,0.989999999216712,financials_core_long.csv:资产总计:p154
equity,九江,2025,main,48622.8,4862278.9,0.9899999977376863,financials_core_long.csv:股东权益合计:p155
netInterestIncome,江西,2025,main,7746.8,774679.5,0.9899999935457179,financials_core_long.csv:利息净收入:p191
netProfit,江西,2025,main,1052.23,105222.6,0.989999961985353,financials_core_long.csv:净利润:p191
feeIncome,江西,2025,main,460.87,46086.8,0.9899999566036262,financials_core_long.csv:手续费及佣金净收入:p191
revenue,威海,2025,main,9917.6,991215.7797,0.9899945095678343,financials_core_long.csv:营业收入:p146
loans,甘肃,2025,main,223962.6,22354628.6,0.9899813768321787,financials_core_long.csv:发放贷款和垫款:p166
revenue,泸州,2025,main,4860.685,484934.0,0.9899766050637819,financials_core_long.csv:营业收入:p6
deposits,华夏银行,2025,main,2409626.0,238169900.0,0.9898827433693342,financials_core_long.csv:吸收存款:p122
deposits,浦发银行,2025,main,5653358.0,558243500.0,0.9898729532900965,financials_core_long.csv:吸收存款:p158
deposits,中信银行,2025,main,6127012.0,604927500.0,0.9898714936913928,financials_core_long.csv:吸收存款:p241
deposits,北京,2025,main,2731729.0,269500000.0,0.9898637142857143,financials_core_long.csv:吸收存款:p155
deposits,平安银行,2025,main,3633569.0,358275500.0,0.9898581705977663,financials_core_long.csv:吸收存款:p7
deposits,兴业银行,2025,main,6020806.0,592961500.0,0.9898462109260044,financials_core_long.csv:吸收存款:p189
deposits,民生银行,2025,main,4347799.0,427723800.0,0.9898350313917533,financials_core_long.csv:吸收存款:p118
deposits,宁波,2025,main,2058755.0,202488300.0,0.9898327211992002,financials_core_long.csv:吸收存款:p23
deposits,九江,2025,main,405067.1,39812783.0,0.9898257024634525,financials_core_long.csv:吸收存款:p154
deposits,光大银行,2025,main,4102458.0,402974800.0,0.9898195668811052,financials_core_long.csv:吸收存款:p172
deposits,浙商银行,2025,main,2043466.0,200630900.0,0.9898147992158736,financials_core_long.csv:吸收存款:p155
deposits,甘肃,2025,main,337473.7,32890396.1,0.9897394455520102,financials_core_long.csv:吸收存款:p166
deposits,威海,2025,main,351275.8,34233262.9,0.9897387578558865,financials_core_long.csv:吸收存款:p148
deposits,江西,2025,main,399960.98,38912477.8,0.9897215237216275,financials_core_long.csv:吸收存款:p193
deposits,晋商,2025,main,320797.012,31105376.1,0.9896867663336179,financials_core_long.csv:吸收存款:p159
deposits,宜宾市,2025,main,91851.86,8899649.2,0.9896791594886685,financials_core_long.csv:吸收存款:p160
businessLoanNpl,江苏,2025,main,1.58,2.46,0.3577235772357723,loan_npl_product_long.csv:个人经营贷款:p35
personalLoanNpl,江苏,2025,main,1.19,0.96,0.19327731092436976,loan_npl_product_long.csv:个人贷款和垫款:p35
earningAssetYield,晋商,2025,main,3.48,2.97,0.14655172413793097,nim_long.csv:average_yield_pct:p18
roa,苏州农商行,2025,main,0.79,0.9186,0.12859999999999994,special_metrics_long.csv:总资产收益率:p15
interestLiabilityCost,苏州农商行,2025,main,1.81,1.62244,0.10362430939226516,nim_long.csv:average_cost_pct:p25
interestLiabilityCost,瑞丰农商行,2025,main,1.82,1.693445,0.06953571428571427,nim_long.csv:average_cost_pct:p28
loans,贵州,2025,main,35928260.8,37916583.5,0.052439395020914874,financials_core_long.csv:发放贷款和垫款:p120
loans,青岛农商行,2025,main,26658830.5,27872301.4,0.043536803171911685,financials_core_long.csv:发放贷款和垫款:p114
loans,哈尔滨,2025,main,39426173.3,41062542.9,0.03985066399772337,financials_core_long.csv:发放贷款和垫款:p176-177
loans,重庆农商行,2025,main,76589268.7,79728704.3,0.03937647836577214,financials_core_long.csv:发放贷款和垫款:p195
loans,杭州,2025,main,103254036.4,107187640.7,0.0366983009823818,financials_core_long.csv:发放贷款和垫款:p115
loans,贵阳,2025,main,34016336.9,35230037.7,0.034450738041645765,financials_core_long.csv:发放贷款和垫款:p158
deposits,兰州,2025,main,37627139.706,36369152.5214,0.033432974029631204,financials_core_long.csv:吸收存款:p131
loans,西安,2025,main,28792519.8,29787652.8,0.03340756677545268,financials_core_long.csv:发放贷款和垫款:p124
loans,苏州,2025,main,36107345.3,37343345.3231,0.03309826723894053,financials_core_long.csv:发放贷款和垫款:p107
loans,瑞丰农商行,2025,main,13681393.8,14120588.7,0.031103157901624778,financials_core_long.csv:发放贷款和垫款:p26
loans,无锡农商行,2025,main,16535051.9,17062873.5,0.0309339221204447,financials_core_long.csv:发放贷款和垫款:p75
loans,苏州农商行,2025,main,13524541.8,13943871.0,0.030072653426010558,financials_core_long.csv:发放贷款和垫款:p74
